filename,board_accuracy,full_fen_match,num_mismatches
1b1b2K1-1r6-2P4p-1b1p4-4N1k1-3B2Q1-2q5-2N2q2.jpeg,0.9219,False,5
1B1b4-1Q2b3-8-6rn-3NK3-7k-2r5-8.jpeg,0.9688,False,2
1b1B4-2b3PK-7P-8-1BP4k-4P3-8-8.jpeg,1.0,True,0
1b1B4-3b1PPn-8-6b1-n2R3r-2K5-8-3Rk3.jpeg,1.0,True,0
1b1b4-3q4-n6k-3b3R-Q7-1K3p2-1n6-1N3QRb.jpeg,0.9062,False,6
1B1B4-4R3-2R2p2-K7-8-3b3r-2Q4P-R2k4.jpeg,1.0,True,0
1B1b4-6P1-P2BK3-8-5PR1-nPr5-N4k1P-8.jpeg,0.9219,False,5
1B1b4-8-8-2B5-3b4-1B2p1K1-8-6k1.jpeg,0.9531,False,3
1b1B4-8-K3N3-b1B5-8-k4P2-8-3n1B2.jpeg,0.9531,False,3
1b1b4-Kn6-2Pk4-8-5p2-7n-7n-8.jpeg,1.0,True,0
1b1bB3-8-1P4k1-8-8-2K3r1-8-5bQ1.jpeg,0.9688,False,2
1B1BK3-7b-3Np3-4N3-2p1r2P-2r5-8-5k1b.jpeg,0.9688,False,2
1b1bK3-8-8-7r-1p5B-r4NkQ-8-6N1.jpeg,0.9844,False,1
1B1bq2B-1P2R2B-K7-6B1-2N5-5r2-N7-5Rk1.jpeg,0.9844,False,1
1b1K1B2-2p5-b2n4-6k1-8-5rN1-2b5-8.jpeg,0.9844,False,1
1b1K2R1-5PR1-7p-6p1-4k3-8-6b1-8.jpeg,0.9531,False,3
1B1K3k-8-8-2r4R-2b5-8-7b-8.jpeg,0.9531,False,3
1b1k3N-8-5P2-N2p2N1-8-1Q6-3N4-K1Q3r1.jpeg,0.9531,False,3
1B1K4-1bb3Bb-4P3-5R2-R7-8-8-6k1.jpeg,0.9844,False,1
1B1K4-1p5N-7p-1qp5-n1P5-8-6k1-b7.jpeg,0.9531,False,3
1B1K4-2b5-8-8-R3R2P-5k2-N3R1r1-1r2RR2.jpeg,0.9531,False,3
1B1K4-3B4-3p4-8-4k3-6p1-2B5-nq6.jpeg,0.9844,False,1
1B1K4-3N1k1P-6Q1-3r1n2-8-3p1NNN-8-3b2rR.jpeg,0.8594,False,9
1B1K4-3P4-6k1-1p6-6p1-8-7p-3B4.jpeg,0.9688,False,2
1B1K4-4n3-4P3-8-4Q1r1-3nk3-r7-4N3.jpeg,0.9688,False,2
1B1K4-6k1-2b2N2-4R3-7B-2pr4-2R1P3-n4n1n.jpeg,0.9688,False,2
1b1K4-8-1NR1P3-8-5B2-8-7k-8.jpeg,1.0,True,0
1b1K4-8-2R2B2-3qk2n-8-1B6-R4P2-4Q3.jpeg,0.9531,False,3
